jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=value, 
1029,  2645,  completed,  eof,  2019-03-13 16:13:03,  2019-03-13 16:16:38,  215,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_31.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0809130226666.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.75267764405.modelParams|spParams|synPermInactiveDec_0.014292765868,  22695,  11,  None,  31,  16,  None,  5,  0.0809130226666,  5.75267764405,  0.014292765868,  1.37851590892,  1.4789562432, 
1029,  2646,  completed,  eof,  2019-03-13 16:15:57,  2019-03-13 16:19:24,  207,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.7.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.02008.modelParams|spParams|synPermInactiveDec_0.07009,  22695,  10,  None,  22,  13,  9.7,  2,  0.02008,  None,  0.07009,  0.821227308911,  0.881062922625, 
1029,  2647,  completed,  eof,  2019-03-13 16:16:38,  2019-03-13 16:20:16,  218,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_29.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0319962334732.modelParams|spParams|synPermInactiveDec_0.0626515517781,  22695,  10,  1,  29,  12,  None,  2,  0.0319962334732,  None,  0.0626515517781,  0.815395390633,  0.874806083736, 
1029,  2648,  completed,  eof,  2019-03-13 16:19:24,  2019-03-13 16:22:51,  207,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_31.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.75803293216.modelParams|spParams|synPermInactiveDec_0.0003,  22695,  11,  None,  31,  16,  None,  5,  0.1,  5.75803293216,  0.0003,  1.16414216914,  1.24896297378, 
1029,  2649,  completed,  eof,  2019-03-13 16:20:16,  2019-03-13 16:23:52,  216,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_31.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_8.07995524655.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0249573014781.modelParams|spParams|synPermInactiveDec_0.0597003404792,  22695,  10,  None,  31,  13,  8.07995524655,  3,  0.0249573014781,  None,  0.0597003404792,  1.12782167023,  1.20999611946, 
1029,  2650,  completed,  eof,  2019-03-13 16:22:51,  2019-03-13 16:26:24,  213,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_33.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0418338978299.modelParams|spParams|synPermInactiveDec_0.0505785013598,  22695,  10,  1,  33,  12,  None,  2,  0.0418338978299,  None,  0.0505785013598,  1.11348098095,  1.19461055023, 
1029,  2651,  completed,  eof,  2019-03-13 16:23:52,  2019-03-13 16:27:21,  209,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_10.3652599315.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0150503400384.modelParams|spParams|synPermInactiveDec_0.077656181636,  22695,  10,  None,  22,  13,  10.3652599315,  2,  0.0150503400384,  None,  0.077656181636,  0.821227308911,  0.881062922625, 
1029,  2652,  completed,  eof,  2019-03-13 16:26:24,  2019-03-13 16:29:46,  202,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_24.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0278034892492.modelParams|spParams|synPermInactiveDec_0.0713518695714,  22695,  10,  1,  24,  12,  None,  2,  0.0278034892492,  None,  0.0713518695714,  0.968766388099,  1.03935187734, 
1029,  2653,  completed,  eof,  2019-03-13 16:27:21,  2019-03-13 16:30:47,  206,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_11.4861143715.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0200478261575.modelParams|spParams|synPermInactiveDec_0.0740731112834,  22695,  10,  None,  22,  14,  11.4861143715,  2,  0.0200478261575,  None,  0.0740731112834,  0.821227308911,  0.881062922625, 
1029,  2654,  completed,  eof,  2019-03-13 16:29:46,  2019-03-13 16:33:09,  203,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0346310798836.modelParams|spParams|synPermInactiveDec_0.0630375532301,  22695,  10,  1,  22,  13,  None,  2,  0.0346310798836,  None,  0.0630375532301,  0.821227308911,  0.881062922625, 
